Player,Team,Stat,Role,Best Attribute,Actual Result
233,59,0,0,0,0
234,59,0,2,0,0
235,59,0,5,0,0
236,59,0,1,1,0
237,60,0,2,0,1
238,60,0,1,1,1
239,60,1,5,0,1
240,60,1,3,2,1
241,61,1,0,0,1
242,61,0,5,2,1
243,61,0,2,0,1
244,61,1,3,2,1
245,62,1,2,0,0
246,62,0,1,1,0
247,62,0,0,0,0
248,62,0,5,2,0
249,63,1,0,0,1
250,63,0,3,2,1
251,63,0,2,0,1
252,63,0,1,1,1
253,64,0,3,1,0
254,64,0,5,0,0
255,64,1,5,0,0
256,64,0,2,0,0
257,65,0,0,0,1
258,65,0,3,2,1
259,65,1,3,2,1
260,65,0,2,0,1
261,66,0,3,2,0
262,66,0,1,1,0
263,66,1,5,0,0
264,66,0,2,0,0
265,67,1,0,0,0
266,67,0,5,2,0
267,67,0,2,0,0
268,67,0,3,2,0
269,68,0,2,0,1
270,68,0,5,0,1
271,68,1,5,0,1
272,68,0,3,2,1
273,69,0,3,1,0
274,69,1,1,1,0
275,69,0,2,0,0
276,69,1,0,0,0
277,70,1,0,0,1
278,70,1,2,0,1
279,70,0,3,2,1
280,70,0,1,1,1
281,71,0,2,0,1
282,71,1,1,1,1
283,71,1,3,2,1
284,71,0,0,0,1
285,72,1,3,2,0
286,72,0,2,0,0
287,72,0,0,0,0
288,72,0,3,1,0
289,73,0,0,0,1
290,73,1,3,2,1
291,73,0,2,0,1
292,73,0,5,0,1
293,74,1,5,0,0
294,74,0,3,1,0
295,74,1,0,0,0
296,74,0,1,1,0
297,75,1,0,0,0
298,75,0,2,0,0
299,75,1,5,2,0
300,75,0,3,2,0
301,76,1,5,0,1
302,76,1,0,0,1
303,76,0,3,1,1
304,76,0,2,0,1
305,77,1,0,0,1
306,77,0,3,2,1
307,77,0,2,0,1
308,77,0,1,1,1
309,78,0,5,2,0
310,78,1,2,0,0
311,78,1,0,0,0
312,78,0,1,1,0
313,79,1,0,0,0
314,79,0,3,2,0
315,79,1,5,0,0
316,79,0,2,0,0
317,80,0,2,0,1
318,80,0,1,1,1
319,80,0,0,0,1
320,80,1,5,2,1
321,81,1,3,2,1
322,81,1,1,1,1
323,81,0,2,0,1
324,81,0,0,0,1
325,82,0,3,1,0
326,82,0,5,0,0
327,82,1,5,0,0
328,82,0,2,0,0
329,83,0,0,0,0
330,83,1,3,2,0
331,83,0,2,0,0
332,83,1,5,0,0
333,84,0,3,1,1
334,84,0,2,0,1
335,84,1,5,0,1
336,84,1,1,1,1
337,85,1,1,1,1
338,85,0,3,1,1
339,85,1,3,2,1
340,85,1,0,0,1
341,86,0,1,1,0
342,86,1,2,0,0
343,86,1,5,0,0
344,86,0,3,2,0
345,87,1,0,0,0
346,87,0,3,0,0
347,87,1,3,2,0
348,87,0,2,0,0
349,88,0,5,2,1
350,88,0,1,1,1
351,88,0,0,0,1
352,88,0,2,0,1
353,89,1,2,0,0
354,89,0,3,1,0
355,89,1,0,0,0
356,89,0,5,0,0
357,90,1,2,0,1
358,90,0,3,1,1
359,90,0,0,0,1
360,90,0,5,2,1
361,91,0,0,0,0
362,91,0,3,1,0
363,91,0,5,2,0
364,91,0,2,0,0
365,92,1,5,0,1
366,92,0,3,1,1
367,92,0,2,0,1
368,92,0,1,1,1
369,93,1,0,0,1
370,93,0,2,0,1
371,93,1,3,2,1
372,93,0,1,1,1
373,94,1,2,0,0
374,94,0,3,1,0
375,94,1,0,0,0
376,94,0,1,1,0
377,95,0,5,0,0
378,95,0,3,1,0
379,95,1,0,0,0
380,95,0,1,1,0
381,96,0,1,1,1
382,96,1,2,0,1
383,96,1,5,0,1
384,96,1,3,2,1
385,97,0,0,0,1
386,97,0,3,1,1
387,97,1,5,2,1
388,97,0,2,0,1
389,98,1,2,0,0
390,98,0,3,0,0
391,98,0,0,0,0
392,98,0,5,0,0
393,99,0,3,1,0
394,99,1,2,0,0
395,99,0,1,1,0
396,99,1,0,0,0
397,100,1,0,0,1
398,100,1,3,2,1
399,100,0,0,0,1
400,100,1,5,2,1
401,101,0,3,2,1
402,101,1,0,0,1
403,101,0,2,0,1
404,101,0,1,1,1
405,102,0,1,1,0
406,102,0,5,0,0
407,102,1,5,0,0
408,102,0,3,1,0
409,103,1,0,0,0
410,103,1,3,2,0
411,103,1,2,0,0
412,103,1,5,2,0
413,104,0,2,0,1
414,104,0,3,2,1
415,104,1,0,0,1
416,104,0,5,2,1
417,105,1,5,0,1
418,105,0,3,2,1
419,105,0,2,0,1
420,105,1,1,1,1
421,106,0,5,0,0
422,106,0,3,1,0
423,106,1,0,0,0
424,106,0,2,0,0
425,107,0,1,1,1
426,107,0,3,1,1
427,107,0,2,0,1
428,107,0,0,0,1
429,108,1,1,1,0
430,108,1,5,0,0
431,108,0,2,0,0
432,108,1,3,2,0
433,109,0,0,0,1
434,109,0,1,1,1
435,109,0,3,1,1
436,109,0,2,0,1
437,110,0,3,2,0
438,110,0,5,0,0
439,110,1,0,0,0
440,110,0,1,1,0
441,111,0,0,0,1
442,111,1,2,0,1
443,111,0,3,2,1
444,111,1,3,2,1
445,112,0,5,0,0
446,112,0,2,0,0
447,112,0,0,0,0
448,112,0,1,1,0
449,113,0,2,0,1
450,113,0,3,1,1
451,113,0,1,1,1
452,113,0,0,0,1
453,114,0,3,2,0
454,114,0,1,1,0
455,114,0,0,0,0
456,114,0,5,0,0
457,115,0,3,1,0
458,115,0,5,0,0
459,115,1,0,0,0
460,115,1,2,0,0
461,116,1,2,0,1
462,116,0,3,1,1
463,116,0,0,0,1
464,116,0,5,2,1
465,117,1,0,0,1
466,117,1,1,1,1
467,117,0,2,0,1
468,117,1,3,2,1
469,118,0,2,0,0
470,118,1,3,2,0
471,118,1,0,0,0
472,118,1,1,1,0
473,119,0,1,1,0
474,119,1,2,0,0
475,119,0,5,2,0
476,119,0,3,1,0
477,120,1,0,0,1
478,120,0,5,2,1
479,120,1,2,0,1
480,120,0,1,1,1
481,121,1,0,0,1
482,121,1,3,2,1
483,121,0,2,0,1
484,121,0,3,1,1
485,122,0,3,1,0
486,122,1,2,0,0
487,122,1,5,0,0
488,122,0,1,1,0
489,123,0,1,1,1
490,123,0,2,0,1
491,123,0,0,0,1
492,123,0,5,2,1
493,124,0,1,1,0
494,124,0,2,0,0
495,124,1,5,0,0
496,124,0,3,0,0
497,125,0,3,1,0
498,125,0,2,0,0
499,125,0,5,2,0
500,125,1,0,0,0
501,126,1,1,1,1
502,126,0,2,0,1
503,126,0,5,0,1
504,126,1,5,0,1
505,127,1,0,0,0
506,127,0,3,2,0
507,127,0,2,0,0
508,127,0,5,0,0
509,128,0,2,0,1
510,128,0,1,1,1
511,128,0,0,0,1
512,128,0,3,2,1
513,129,0,2,0,0
514,129,1,3,2,0
515,129,0,1,1,0
516,129,1,0,0,0
517,130,0,3,1,1
518,130,0,1,1,1
519,130,1,5,0,1
520,130,0,2,0,1
521,131,1,0,0,0
522,131,0,3,1,0
523,131,0,2,0,0
524,131,1,5,1,0
525,132,1,1,1,1
526,132,1,3,2,1
527,132,0,0,0,1
528,132,0,5,0,1
529,133,0,0,0,1
530,133,0,5,2,1
531,133,0,2,0,1
532,133,1,3,2,1
533,134,1,2,0,0
534,134,1,1,1,0
535,134,1,5,0,0
536,134,0,3,1,0
537,135,1,0,0,0
538,135,0,1,1,0
539,135,1,2,0,0
540,135,0,3,1,0
541,136,1,0,0,1
542,136,1,1,1,1
543,136,0,5,2,1
544,136,1,3,2,1
545,137,0,0,0,0
546,137,1,5,2,0
547,137,1,2,0,0
548,137,0,3,1,0
549,138,1,2,0,1
550,138,1,1,1,1
551,138,0,0,0,1
552,138,0,5,2,1
553,139,0,2,0,1
554,139,0,3,1,1
555,139,0,1,1,1
556,139,1,0,0,1
557,140,0,2,0,0
558,140,1,1,1,0
559,140,1,0,0,0
560,140,0,3,1,0
561,141,1,0,0,0
562,141,0,5,2,0
563,141,0,3,2,0
564,141,0,1,1,0
565,142,0,5,2,1
566,142,0,3,1,1
567,142,1,0,0,1
568,142,1,1,1,1
569,143,1,0,0,1
570,143,0,5,2,1
571,143,0,3,1,1
572,143,0,1,1,1
573,144,0,2,0,0
574,144,0,1,1,0
575,144,1,5,0,0
576,144,0,3,1,0
577,145,1,5,2,0
578,145,1,0,0,0
579,145,0,2,0,0
580,145,1,1,1,0
581,146,0,1,1,1
582,146,1,0,0,1
583,146,1,3,2,1
584,146,0,2,0,1
585,147,1,0,0,0
586,147,0,3,0,0
587,147,1,2,0,0
588,147,1,5,2,0
589,148,0,2,0,1
590,148,0,0,0,1
591,148,1,5,1,1
592,148,0,1,1,1
593,149,1,0,0,0
594,149,1,1,1,0
595,149,0,3,2,0
596,149,0,2,0,0
597,150,0,1,1,1
598,150,1,2,0,1
599,150,0,0,0,1
600,150,0,5,2,1
601,151,0,5,2,0
602,151,0,3,1,0
603,151,1,0,0,0
604,151,0,1,1,0
605,152,0,5,0,1
606,152,0,1,1,1
607,152,1,5,0,1
608,152,1,2,0,1
609,153,0,1,1,1
610,153,1,5,2,1
611,153,0,2,0,1
612,153,0,3,0,1
613,154,1,1,1,0
614,154,0,0,0,0
615,154,0,2,0,0
616,154,1,5,2,0
617,155,1,0,0,0
618,155,0,3,1,0
619,155,1,5,2,0
620,155,1,2,0,0
621,156,1,1,1,1
622,156,0,5,0,1
623,156,1,0,0,1
624,156,1,2,0,1
625,157,1,0,0,0
626,157,0,1,1,0
627,157,1,3,2,0
628,157,0,2,0,0
629,158,0,0,0,1
630,158,0,1,1,1
631,158,1,3,2,1
632,158,0,2,0,1
633,159,1,0,0,0
634,159,0,1,1,0
635,159,1,5,0,0
636,159,0,3,2,0
637,160,1,5,2,1
638,160,0,1,1,1
639,160,0,0,0,1
640,160,0,3,2,1
641,161,1,5,1,0
642,161,1,2,0,0
643,161,1,3,2,0
644,161,1,0,0,0
645,162,0,2,0,1
646,162,0,3,0,1
647,162,1,5,0,1
648,162,0,1,1,1
649,163,1,0,0,0
650,163,1,2,0,0
651,163,0,1,1,0
652,163,1,5,2,0
653,164,1,2,0,1
654,164,0,3,2,1
655,164,0,0,0,1
656,164,1,1,1,1
657,165,1,1,1,0
658,165,1,2,0,0
659,165,0,3,1,0
660,165,1,0,0,0
661,166,0,0,0,1
662,166,0,2,0,1
663,166,0,3,0,1
664,166,1,3,2,1
665,167,0,3,2,1
666,167,1,0,0,1
667,167,1,3,2,1
668,167,0,1,1,1
669,168,1,2,0,0
670,168,0,1,1,0
671,168,1,5,0,0
672,168,1,3,2,0
673,169,0,2,0,1
674,169,1,3,2,1
675,169,0,0,0,1
676,169,0,1,1,1
677,170,0,0,0,0
678,170,1,2,0,0
679,170,1,5,2,0
680,170,0,3,0,0
681,171,0,0,0,1
682,171,0,5,2,1
683,171,0,2,0,1
684,171,0,3,1,1
685,172,1,0,0,0
686,172,0,5,0,0
687,172,0,3,1,0
688,172,0,1,1,0
689,173,0,5,2,1
690,173,1,3,2,1
691,173,0,2,0,1
692,173,1,1,1,1
693,174,1,1,1,0
694,174,0,2,0,0
695,174,1,5,0,0
696,174,0,3,1,0
697,175,0,5,2,0
698,175,1,2,0,0
699,175,1,0,0,0
700,175,0,3,2,0
701,176,0,2,0,1
702,176,0,3,1,1
703,176,1,1,1,1
704,176,0,0,0,1
705,177,1,0,0,0
706,177,1,5,2,0
707,177,0,3,1,0
708,177,0,2,0,0
709,178,0,2,0,1
710,178,0,3,2,1
711,178,1,5,0,1
712,178,0,1,1,1
713,179,1,2,0,0
714,179,0,3,1,0
715,179,0,5,0,0
716,179,1,1,1,0
717,180,1,2,0,1
718,180,1,1,1,1
719,180,1,5,0,1
720,180,0,3,1,1
721,181,1,0,0,1
722,181,0,3,1,1
723,181,0,5,2,1
724,181,0,1,1,1
725,182,0,1,1,0
726,182,1,5,1,0
727,182,0,0,0,0
728,182,0,3,1,0
729,183,0,3,0,1
730,183,1,2,0,1
731,183,0,1,1,1
732,183,1,3,2,1
733,184,1,5,0,0
734,184,0,3,1,0
735,184,1,0,0,0
736,184,0,2,0,0
737,185,0,1,1,1
738,185,0,5,0,1
739,185,1,2,0,1
740,185,0,3,2,1
741,186,0,1,1,0
742,186,1,0,0,0
743,186,0,5,2,0
744,186,1,2,0,0
745,187,1,0,0,1
746,187,1,2,0,1
747,187,0,3,1,1
748,187,0,1,1,1
749,188,0,3,2,0
750,188,0,5,2,0
751,188,0,0,0,0
752,188,0,2,0,0
753,189,0,1,1,1
754,189,1,0,0,1
755,189,0,3,1,1
756,189,0,5,2,1
757,190,1,2,0,0
758,190,0,1,1,0
759,190,1,0,0,0
760,190,0,5,0,0
761,191,1,5,0,1
762,191,1,0,0,1
763,191,0,3,2,1
764,191,1,1,1,1
765,192,0,3,1,0
766,192,0,1,1,0
767,192,1,0,0,0
768,192,1,2,0,0
769,193,1,1,1,1
770,193,0,3,0,1
771,193,1,2,0,1
772,193,1,0,0,1
773,194,1,5,0,0
774,194,1,2,0,0
775,194,1,0,0,0
776,194,0,3,1,0
777,195,1,5,1,1
778,195,0,3,2,1
779,195,1,2,0,1
780,195,1,1,1,1
781,196,0,1,1,0
782,196,0,5,2,0
783,196,0,0,0,0
784,196,1,2,0,0
785,197,0,1,1,1
786,197,1,3,2,1
787,197,0,2,0,1
788,197,0,5,0,1
789,198,0,2,0,0
790,198,0,3,1,0
791,198,1,0,0,0
792,198,0,1,1,0
793,199,1,0,0,0
794,199,0,2,0,0
795,199,0,3,1,0
796,199,0,1,1,0
797,200,0,2,0,1
798,200,0,3,1,1
799,200,1,0,0,1
800,200,0,5,0,1
801,201,1,3,2,1
802,201,0,5,0,1
803,201,0,2,0,1
804,201,1,1,1,1
805,202,0,3,1,0
806,202,1,2,0,0
807,202,0,0,0,0
808,202,1,5,0,0
809,203,0,3,0,0
810,203,0,2,0,0
811,203,0,1,1,0
812,203,0,0,0,0
813,204,1,1,1,1
814,204,1,2,0,1
815,204,0,0,0,1
816,204,0,3,1,1
817,205,0,0,0,1
818,205,0,3,1,1
819,205,0,1,1,1
820,205,1,2,0,1
821,206,1,0,0,0
822,206,1,2,0,0
823,206,0,1,1,0
824,206,0,5,2,0
825,207,1,0,0,0
826,207,0,2,0,0
827,207,0,3,0,0
828,207,1,5,2,0
829,208,1,2,0,1
830,208,0,3,1,1
831,208,0,0,0,1
832,208,1,5,1,1
833,209,1,0,0,1
834,209,0,1,1,1
835,209,1,2,0,1
836,209,0,3,2,1
837,210,1,5,0,0
838,210,0,3,0,0
839,210,0,5,0,0
840,210,0,2,0,0
841,211,1,3,2,1
842,211,0,1,1,1
843,211,1,2,0,1
844,211,0,5,0,1
845,212,1,5,0,0
846,212,1,1,1,0
847,212,1,2,0,0
848,212,0,3,0,0
849,213,0,1,1,0
850,213,0,2,0,0
851,213,0,3,1,0
852,213,1,0,0,0
853,214,0,5,2,1
854,214,0,1,1,1
855,214,0,0,0,1
856,214,1,2,0,1
857,215,0,0,0,1
858,215,1,3,2,1
859,215,0,5,2,1
860,215,0,1,1,1
861,216,1,0,0,0
862,216,1,5,2,0
863,216,0,1,1,0
864,216,0,2,0,0
865,217,1,0,0,0
866,217,0,3,1,0
867,217,1,5,2,0
868,217,1,2,1,0
869,218,0,3,1,1
870,218,1,1,1,1
871,218,0,0,0,1
872,218,1,5,0,1
873,219,1,5,0,1
874,219,1,1,1,1
875,219,0,3,2,1
876,219,0,0,0,1
877,220,0,2,0,0
878,220,1,1,1,0
879,220,1,0,0,0
880,220,1,5,1,0
881,221,0,0,0,1
882,221,0,1,1,1
883,221,0,3,1,1
884,221,1,2,0,1
885,222,0,2,0,0
886,222,0,3,0,0
887,222,1,0,0,0
888,222,1,5,2,0
889,223,0,1,1,1
890,223,0,2,0,1
891,223,1,3,2,1
892,223,1,0,0,1
893,224,1,1,1,0
894,224,1,2,0,0
895,224,1,0,0,0
896,224,1,5,1,0
897,225,1,0,0,1
898,225,1,2,0,1
899,225,1,5,0,1
900,225,0,1,1,1
901,226,0,5,2,0
902,226,0,3,1,0
903,226,0,0,0,0
904,226,0,2,0,0
905,227,0,0,0,1
906,227,0,5,0,1
907,227,0,1,1,1
908,227,0,2,0,1
909,228,0,5,0,0
910,228,0,3,2,0
911,228,0,0,0,0
912,228,0,1,1,0
913,229,0,1,1,0
914,229,1,5,1,0
915,229,0,3,0,0
916,229,0,0,0,0
917,230,0,2,0,1
918,230,1,1,1,1
919,230,0,0,0,1
920,230,0,3,2,1
921,231,1,2,0,1
922,231,1,5,1,1
923,231,0,3,1,1
924,231,0,0,0,1
925,232,1,1,1,0
926,232,0,3,1,0
927,232,1,5,0,0
928,232,1,2,0,0
929,233,0,1,1,0
930,233,1,2,0,0
931,233,0,0,0,0
932,233,1,3,2,0
933,234,0,0,0,1
934,234,1,5,1,1
935,234,0,2,0,1
936,234,0,1,1,1
937,235,1,0,0,0
938,235,0,1,1,0
939,235,0,3,2,0
940,235,0,2,0,0
941,236,0,3,1,1
942,236,1,2,0,1
943,236,1,5,0,1
944,236,0,1,1,1
945,237,0,0,0,1
946,237,0,5,0,1
947,237,0,3,0,1
948,237,1,1,1,1
949,238,0,1,1,0
950,238,0,3,0,0
951,238,1,0,0,0
952,238,1,5,2,0
953,239,1,0,0,0
954,239,1,2,0,0
955,239,0,1,1,0
956,239,1,3,2,0
957,240,1,3,2,1
958,240,0,5,2,1
959,240,1,0,0,1
960,240,0,2,0,1
961,241,1,0,0,0
962,241,1,2,0,0
963,241,0,1,1,0
964,241,1,3,2,0
965,242,1,3,2,1
966,242,0,5,2,1
967,242,1,0,0,1
968,242,0,2,0,1
969,243,1,0,0,1
970,243,0,2,0,1
971,243,0,4,1,1
972,243,1,1,1,1
973,244,1,0,0,0
974,244,1,1,1,0
975,244,0,5,0,0
976,244,1,2,0,0
977,245,1,0,0,1
978,245,0,4,1,1
979,245,1,2,0,1
980,245,0,3,0,1
981,246,0,1,1,0
982,246,1,3,2,0
983,246,1,0,0,0
984,246,1,5,0,0
985,247,1,0,0,0
986,247,0,1,1,0
987,247,0,2,0,0
988,247,0,3,2,0
989,248,0,3,2,1
990,248,0,0,0,1
991,248,0,5,0,1
992,248,1,2,0,1
993,249,1,0,0,1
994,249,0,4,1,1
995,249,1,2,0,1
996,249,0,1,1,1
997,250,0,2,0,0
998,250,1,3,2,0
999,250,0,0,0,0
1000,250,0,5,0,0
1001,251,0,5,2,1
1002,251,1,2,0,1
1003,251,0,1,1,1
1004,251,0,4,1,1
1005,252,0,0,0,0
1006,252,0,1,1,0
1007,252,1,2,0,0
1008,252,0,5,2,0
1009,253,1,0,0,1
1010,253,0,2,0,1
1011,253,1,1,1,1
1012,253,0,4,1,1
1013,254,1,1,1,0
1014,254,0,2,0,0
1015,254,1,5,0,0
1016,254,0,4,1,0
1017,255,1,0,0,0
1018,255,0,3,0,0
1019,255,0,2,0,0
1020,255,0,1,1,0
1021,256,1,0,0,1
1022,256,1,2,0,1
1023,256,0,1,1,1
1024,256,1,5,2,1
1025,257,1,0,0,0
1026,257,1,2,0,0
1027,257,0,1,1,0
1028,257,1,3,2,0
1029,258,0,5,2,1
1030,258,1,1,1,1
1031,258,0,0,0,1
1032,258,0,3,0,1
1033,259,0,0,0,1
1034,259,0,2,0,1
1035,259,0,1,1,1
1036,259,1,5,1,1
1037,260,0,3,2,0
1038,260,1,2,0,0
1039,260,1,0,0,0
1040,260,1,1,1,0
1041,261,0,0,0,0
1042,261,0,2,0,0
1043,261,1,1,1,0
1044,261,0,3,0,0
1045,262,1,5,2,1
1046,262,1,1,1,1
1047,262,1,0,0,1
1048,262,0,2,0,1
1049,263,1,2,0,1
1050,263,1,5,1,1
1051,263,1,1,1,1
1052,263,0,0,0,1
1053,264,0,3,0,0
1054,264,1,2,0,0
1055,264,1,5,0,0
1056,264,0,5,0,0
1057,265,1,0,0,0
1058,265,0,3,2,0
1059,265,1,2,0,0
1060,265,0,4,1,0
1061,266,0,2,0,1
1062,266,0,1,1,1
1063,266,0,0,0,1
1064,266,1,5,2,1
1065,267,0,1,1,0
1066,267,0,5,2,0
1067,267,1,3,2,0
1068,267,0,0,0,0
1069,268,0,5,2,1
1070,268,0,4,1,1
1071,268,0,0,0,1
1072,268,1,2,0,1
1073,269,0,3,2,1
1074,269,0,5,2,1
1075,269,0,2,0,1
1076,269,0,0,0,1
1077,270,0,4,1,0
1078,270,0,5,0,0
1079,270,1,0,0,0
1080,270,0,1,1,0
1081,271,1,0,0,1
1082,271,1,1,1,1
1083,271,0,4,1,1
1084,271,0,5,0,1
1085,272,0,4,1,0
1086,272,0,2,0,0
1087,272,1,5,0,0
1088,272,0,5,0,0
1089,273,0,5,0,0
1090,273,0,2,0,0
1091,273,1,1,1,0
1092,273,1,0,0,0
1093,274,1,5,2,1
1094,274,1,3,2,1
1095,274,0,0,0,1
1096,274,1,1,1,1
1097,275,0,0,0,1
1098,275,1,2,0,1
1099,275,0,3,2,1
1100,275,1,1,1,1
1101,276,1,1,1,0
1102,276,0,5,2,0
1103,276,0,0,0,0
1104,276,0,4,1,0
1105,277,0,5,2,0
1106,277,1,1,1,0
1107,277,1,0,0,0
1108,277,0,2,0,0
1109,278,1,1,1,1
1110,278,0,1,1,1
1111,278,0,5,2,1
1112,278,1,2,0,1
1113,279,0,4,1,1
1114,279,0,5,0,1
1115,279,0,1,1,1
1116,279,0,0,0,1
1117,280,0,4,1,0
1118,280,0,5,2,0
1119,280,1,0,0,0
1120,280,1,2,0,0
1121,281,1,5,2,0
1122,281,0,4,1,0
1123,281,0,2,0,0
1124,281,0,0,0,0
1125,282,0,1,1,1
1126,282,0,3,2,1
1127,282,1,5,0,1
1128,282,0,2,0,1
1129,283,1,0,0,0
1130,283,1,2,0,0
1131,283,0,3,2,0
1132,283,1,1,1,0
1133,284,0,5,0,1
1134,284,0,4,1,1
1135,284,0,0,0,1
1136,284,0,2,0,1
1137,285,1,0,0,1
1138,285,0,1,1,1
1139,285,0,3,2,1
1140,285,1,2,0,1
1141,286,0,1,1,0
1142,286,1,2,0,0
1143,286,0,0,0,0
1144,286,0,4,1,0
1145,287,0,1,1,1
1146,287,1,5,1,1
1147,287,0,2,0,1
1148,287,1,0,0,1
1149,288,0,2,0,0
