Player,Game,Team,Hero,Stat,Role,Best Attribute,Actual Result
1865,,467,30,1,3,2,1
1866,,467,28,1,2,0,1
1867,,467,5,0,1,1,1
1868,,467,92,1,0,0,1
1869,,468,47,0,5,0,0
1870,,468,44,0,2,0,0
1871,,468,65,1,0,0,0
1872,,468,35,1,1,1,0
1873,,469,44,0,3,2,1
1874,,469,25,1,1,1,1
1875,,469,53,1,2,0,1
1876,,469,102,1,0,0,1
1877,,470,30,0,4,1,0
1878,,470,54,0,1,1,0
1879,,470,65,1,5,0,0
1880,,470,36,1,2,0,0
1881,,471,19,0,1,1,0
1882,,471,30,0,3,0,0
1883,,471,42,0,2,0,0
1884,,471,90,1,0,0,0
1885,,472,36,0,3,2,1
1886,,472,34,0,2,0,1
1887,,472,75,1,5,0,1
1888,,472,17,1,1,1,1
1889,,473,53,0,2,0,0
1890,,473,43,0,3,2,0
1891,,473,30,0,5,2,0
1892,,473,44,1,0,0,0
1893,,474,53,1,1,1,1
1894,,474,65,0,5,2,1
1895,,474,30,0,0,0,1
1896,,474,31,1,3,2,1
1897,,475,65,0,2,0,0
1898,,475,69,0,5,0,0
1899,,475,93,0,3,2,0
1900,,475,92,0,1,1,0
1901,,476,54,0,2,0,1
1902,,476,30,1,5,0,1
1903,,476,65,0,3,2,1
1904,,476,52,0,1,1,1
1905,,477,2,1,5,0,0
1906,,477,90,0,1,1,0
1907,,477,36,0,4,1,0
1908,,477,93,1,0,0,0
1909,,478,75,0,2,0,1
1910,,478,5,0,3,2,1
1911,,478,42,1,5,0,1
1912,,478,9,0,1,1,1
1913,,479,75,0,5,0,0
1914,,479,26,1,0,0,0
1915,,479,30,1,1,1,0
1916,,479,2,0,4,1,0
1917,,480,71,0,0,0,1
1918,,480,30,1,2,0,1
1919,,480,90,0,5,2,1
1920,,480,70,0,1,1,1
1921,,481,90,0,0,0,1
1922,,481,65,0,2,0,1
1923,,481,28,0,3,2,1
1924,,481,50,0,5,0,1
1925,,482,5,0,2,0,0
1926,,482,31,0,3,2,0
1927,,482,65,1,0,0,0
1928,,482,48,0,5,2,0
1929,,483,95,1,0,0,1
1930,,483,9,1,5,0,1
1931,,483,54,1,1,1,1
1932,,483,17,0,4,1,1
1933,,484,9,1,2,0,0
1934,,484,35,0,1,1,0
1935,,484,90,1,5,0,0
1936,,484,2,0,5,0,0
1937,,485,92,1,0,0,1
1938,,485,17,0,1,1,1
1939,,485,5,0,2,0,1
1940,,485,69,1,3,2,1
1941,,486,2,0,1,1,0
1942,,486,19,1,2,0,0
1943,,486,90,1,0,0,0
1944,,486,28,0,5,0,0
1945,,487,36,1,0,0,1
1946,,487,25,1,3,2,1
1947,,487,19,1,2,0,1
1948,,487,92,0,1,1,1
1949,,488,53,0,5,0,0
1950,,488,44,0,2,0,0
1951,,488,62,1,0,0,0
1952,,488,70,1,1,1,0
1953,,489,47,1,1,1,0
1954,,489,36,0,3,0,0
1955,,489,26,0,2,0,0
1956,,489,95,1,0,0,0
1957,,490,44,0,2,0,1
1958,,490,41,0,1,1,1
1959,,490,62,0,0,0,1
1960,,490,25,0,5,2,1
1961,,491,30,0,4,1,0
1962,,491,28,1,1,1,0
1963,,491,5,0,2,0,0
1964,,491,92,1,0,0,0
1965,,492,47,0,1,1,1
1966,,492,44,0,5,0,1
1967,,492,65,0,0,0,1
1968,,492,35,0,3,0,1
1969,,493,44,0,3,2,1
1970,,493,25,1,1,1,1
1971,,493,53,1,2,0,1
1972,,493,102,1,0,0,1
1973,,494,30,0,4,1,0
1974,,494,54,0,1,1,0
1975,,494,65,1,5,0,0
1976,,494,36,1,2,0,0
1977,,495,28,0,1,1,0
1978,,495,35,0,3,0,0
1979,,495,17,0,2,0,0
1980,,495,95,1,0,0,0
1981,,496,15,0,3,2,1
1982,,496,17,0,2,0,1
1983,,496,90,1,5,0,1
1984,,496,35,1,1,1,1
1985,,497,47,1,1,1,0
1986,,497,70,1,2,0,0
1987,,497,5,1,3,2,0
1988,,497,52,1,0,0,0
1989,,498,31,1,5,2,1
1990,,498,50,1,3,2,1
1991,,498,75,1,0,0,1
1992,,498,42,1,2,0,1
1993,,499,35,0,4,1,1
1994,,499,47,0,5,2,1
1995,,499,28,1,2,0,1
1996,,499,102,0,1,1,1
1997,,500,36,0,1,1,0
1998,,500,25,0,4,1,0
1999,,500,90,0,0,0,0
2000,,500,20,0,5,2,0
